algorithm generator seed numberofsequences sizeofsequences cost scslength timems
dpscs random 2 2 168 bitcost 314 696.329116821
dpscs random 2 2 169 bitcost 320 1067.31700897
dpscs random 2 2 16 bitcost 26 5.74612617493
dpscs random 2 2 170 bitcost 317 793.043136597
dpscs random 2 2 171 bitcost 322 1211.46392822
dpscs random 2 2 172 bitcost 323 923.596858978
dpscs random 2 2 173 bitcost 324 975.279092789
dpscs random 2 2 174 bitcost 326 1228.90114784
dpscs random 2 2 175 bitcost 321 1134.79590416
dpscs random 2 2 176 bitcost 329 874.108076096
dpscs random 2 2 177 bitcost 329 1257.9498291
dpscs random 2 2 178 bitcost 332 981.495857239
dpscs random 2 2 179 bitcost 336 1379.61387634
dpscs random 2 2 17 bitcost 25 6.33311271667
dpscs random 2 2 180 bitcost 336 837.506055832
dpscs random 2 2 181 bitcost 337 802.711009979
dpscs random 2 2 182 bitcost 341 735.076904297
dpscs random 2 2 183 bitcost 340 1065.89603424
dpscs random 2 2 184 bitcost 343 1450.58584213
dpscs random 2 2 185 bitcost 348 1116.03093147
dpscs random 2 2 186 bitcost 346 1012.14504242
dpscs random 2 2 187 bitcost 349 1442.2249794
dpscs random 2 2 188 bitcost 349 1442.08097458
dpscs random 2 2 189 bitcost 353 1248.8758564
dpscs random 2 2 18 bitcost 28 7.00712203979
dpscs random 2 2 190 bitcost 352 1109.18498039
dpscs random 2 2 191 bitcost 354 734.662055969
dpscs random 2 2 192 bitcost 359 961.709976196
dpscs random 2 2 19 bitcost 30 7.81607627869
dpscs random 2 2 20 bitcost 35 8.58402252197
dpscs random 2 2 21 bitcost 36 9.39512252808
dpscs random 2 2 22 bitcost 37 10.244846344
dpscs random 2 2 23 bitcost 38 11.1308097839
dpscs random 2 2 24 bitcost 41 12.0429992676
dpscs random 2 2 25 bitcost 43 14.3060684204
dpscs random 2 2 26 bitcost 44 14.1348838806
dpscs random 2 2 27 bitcost 45 15.0640010834
dpscs random 2 2 28 bitcost 49 16.0970687866
dpscs random 2 2 29 bitcost 50 17.1368122101
dpscs random 2 2 2 bitcost 2 0.253915786743
dpscs random 2 2 30 bitcost 54 18.1939601898
dpscs random 2 2 31 bitcost 53 19.5949077606
dpscs random 2 2 32 bitcost 56 20.7619667053
dpscs random 2 2 33 bitcost 57 22.0220088959
dpscs random 2 2 34 bitcost 58 23.2310295105
dpscs random 2 2 35 bitcost 61 24.4929790497
dpscs random 2 2 36 bitcost 63 26.8311500549
dpscs random 2 2 37 bitcost 64 27.3640155792
dpscs random 2 2 38 bitcost 67 29.2789936066
dpscs random 2 2 39 bitcost 66 30.2631855011
dpscs random 2 2 3 bitcost 5 0.434875488281
dpscs random 2 2 40 bitcost 66 38.5370254517
dpscs random 2 2 41 bitcost 72 63.6649131775
dpscs random 2 2 42 bitcost 72 38.1500720978
dpscs random 2 2 43 bitcost 74 81.6278457642
dpscs random 2 2 44 bitcost 76 38.1669998169
dpscs random 2 2 45 bitcost 79 77.733039856
dpscs random 2 2 46 bitcost 81 44.6908473969
dpscs random 2 2 47 bitcost 84 43.3208942413
dpscs random 2 2 48 bitcost 83 92.5271511078
dpscs random 2 2 49 bitcost 87 46.7441082001
dpscs random 2 2 4 bitcost 6 0.606060028076
dpscs random 2 2 50 bitcost 87 99.769115448
dpscs random 2 2 51 bitcost 89 67.4638748169
dpscs random 2 2 52 bitcost 92 76.9798755646
dpscs random 2 2 53 bitcost 93 106.212854385
dpscs random 2 2 54 bitcost 95 156.287908554
dpscs random 2 2 55 bitcost 97 82.5819969177
dpscs random 2 2 56 bitcost 99 80.2202224731
dpscs random 2 2 57 bitcost 103 126.621961594
dpscs random 2 2 58 bitcost 104 155.351161957
